Nov 22 08:48:26 3dr_solo local6.info video: Last timestamp: 56710580
Nov 22 08:48:28 3dr_solo local6.info video: New bitrate: 1000000bps
Nov 22 08:48:28 3dr_solo local6.info video: Last timestamp: 56835042
Nov 22 08:48:31 3dr_solo local6.info video: New bitrate: 1200000bps
Nov 22 08:48:31 3dr_solo local6.info video: Last timestamp: 57106214
Nov 22 08:48:34 3dr_solo local6.info video: New bitrate: 1100000bps
Nov 22 08:48:34 3dr_solo local6.info video: Last timestamp: 57376254
Nov 22 08:48:34 3dr_solo local6.info video: New bitrate: 1000000bps
Nov 22 08:48:34 3dr_solo local6.info video: Last timestamp: 57425423
Nov 22 08:48:38 3dr_solo local6.info video: New bitrate: 1200000bps
Nov 22 08:48:38 3dr_solo local6.info video: Last timestamp: 57696366
Nov 22 08:48:41 3dr_solo local6.info video: New bitrate: 1400000bps
Nov 22 08:48:41 3dr_solo local6.info video: Last timestamp: 57966686
Nov 22 08:48:44 3dr_solo local6.info video: New bitrate: 1600000bps
Nov 22 08:48:44 3dr_solo local6.info video: Last timestamp: 58237244
Nov 22 08:48:47 3dr_solo local6.info video: New bitrate: 1800000bps
Nov 22 08:48:47 3dr_solo local6.info video: Last timestamp: 58508107
Nov 22 08:49:29 3dr_solo local6.info video: New bitrate: 1700000bps
Nov 22 08:49:29 3dr_solo local6.info video: Last timestamp: 62292980
Nov 22 08:49:32 3dr_solo local6.info video: New bitrate: 1800000bps
Nov 22 08:49:32 3dr_solo local6.info video: Last timestamp: 62563784
Nov 22 08:49:38 3dr_solo local6.info video: New bitrate: 1700000bps
Nov 22 08:49:38 3dr_solo local6.info video: Last timestamp: 63047941
Nov 22 08:49:41 3dr_solo local6.info video: New bitrate: 1800000bps
Nov 22 08:49:41 3dr_solo local6.info video: Last timestamp: 63318880
Nov 22 08:50:10 3dr_solo local6.info video: New bitrate: 1700000bps
Nov 22 08:50:10 3dr_solo local6.info video: Last timestamp: 65978860
Nov 22 08:50:13 3dr_solo local6.info video: New bitrate: 1600000bps
Nov 22 08:50:13 3dr_solo local6.info video: Last timestamp: 66174763
Nov 22 08:50:16 3dr_solo local6.info video: New bitrate: 1800000bps
Nov 22 08:50:16 3dr_solo local6.info video: Last timestamp: 66445404
Nov 22 08:51:05 3dr_solo local6.info video: New bitrate: 1700000bps
Nov 22 08:51:05 3dr_solo local6.info video: Last timestamp: 70900984
Nov 22 08:51:08 3dr_solo local6.info video: New bitrate: 1800000bps
Nov 22 08:51:08 3dr_solo local6.info video: Last timestamp: 71167817
Nov 22 08:52:31 3dr_solo local6.info video: New bitrate: 1700000bps
Nov 22 08:52:31 3dr_solo local6.info video: Last timestamp: 78615849
Nov 22 08:52:34 3dr_solo local6.info video: New bitrate: 1800000bps
Nov 22 08:52:34 3dr_solo local6.info video: Last timestamp: 78887332
Nov 22 08:52:58 3dr_solo local6.info video: New bitrate: 1700000bps
Nov 22 08:52:58 3dr_solo local6.info video: Last timestamp: 81006533
Nov 22 08:52:58 3dr_solo local6.info video: New bitrate: 1600000bps
Nov 22 08:52:58 3dr_solo local6.info video: Last timestamp: 81022696
Nov 22 08:53:01 3dr_solo local6.info video: New bitrate: 1800000bps
Nov 22 08:53:01 3dr_solo local6.info video: Last timestamp: 81293811
Nov 22 08:53:03 3dr_solo local6.info video: New bitrate: 1700000bps
Nov 22 08:53:03 3dr_solo local6.info video: Last timestamp: 81399328
Nov 22 08:53:03 3dr_solo local6.info video: New bitrate: 1600000bps
Nov 22 08:53:03 3dr_solo local6.info video: Last timestamp: 81415267
Nov 22 08:53:05 3dr_solo local6.info video: New bitrate: 1500000bps
Nov 22 08:53:05 3dr_solo local6.info video: Last timestamp: 81611623
Nov 22 08:53:06 3dr_solo local6.info video: New bitrate: 1400000bps
Nov 22 08:53:06 3dr_solo local6.info video: Last timestamp: 81680555
Nov 22 08:53:07 3dr_solo local6.info video: New bitrate: 1300000bps
Nov 22 08:53:07 3dr_solo local6.info video: Last timestamp: 81733401
Nov 22 08:53:07 3dr_solo local6.info video: New bitrate: 1200000bps
Nov 22 08:53:07 3dr_solo local6.info video: Last timestamp: 81782700
Nov 22 08:53:09 3dr_solo local6.info video: New bitrate: 1100000bps
Nov 22 08:53:09 3dr_solo local6.info video: Last timestamp: 81907886
Nov 22 08:53:10 3dr_solo local6.info video: New bitrate: 1000000bps
Nov 22 08:53:10 3dr_solo local6.info video: Last timestamp: 81975671
Nov 22 08:53:11 3dr_solo local6.info video: New bitrate: 900000bps
Nov 22 08:53:11 3dr_solo local6.info video: Last timestamp: 82047361
Nov 22 08:53:12 3dr_solo local6.info video: New bitrate: 800000bps
Nov 22 08:53:12 3dr_solo local6.info video: Last timestamp: 82118767
Nov 22 08:53:19 3dr_solo local6.info video: New bitrate: 1000000bps
Nov 22 08:53:19 3dr_solo local6.info video: Last timestamp: 82787232
Nov 22 08:53:22 3dr_solo local6.info video: New bitrate: 1200000bps
Nov 22 08:53:22 3dr_solo local6.info video: Last timestamp: 83057249
Nov 22 08:53:23 3dr_solo local6.info video: New bitrate: 1100000bps
Nov 22 08:53:23 3dr_solo local6.info video: Last timestamp: 83129705
Nov 22 08:53:25 3dr_solo local6.info video: New bitrate: 1000000bps
Nov 22 08:53:25 3dr_solo local6.info video: Last timestamp: 83272516
