
2018-11-21 14:45:09,161 proc_top starting

2018-11-21 14:45:19,161
   pid name                  utime  stime  pct
   pid name                  utime  stime  pct
   905 (telem_down)             10     88  10%
   918 (python)                 82      9   9%
   921 (python)                 43     21   6%
    64 (kworker/0:2)             0     48   5%
   919 (python)                 43      4   5%
   901 (python)                 21      9   3%
   914 (vidsrc:src)             19     10   3%
   903 (pixrc_udp)               0     18   2%
   890 (dataflash_logge)         4      9   1%
    71 (mmcqd/0)                 0      9   1%
    24 (ipu1_task)               0      8   1%
   908 (pixrc_ser)               0      5   1%
   906 (telem_up)                1      4   1%
   920 (python)                  3      2   1%

2018-11-21 14:47:39,161
   pid name                  utime  stime  pct
   905 (telem_down)              8     92  10%
   918 (python)                 86      5   9%
   921 (python)                 45     18   6%
    64 (kworker/0:2)             0     49   5%
   919 (python)                 34     13   5%
   914 (vidsrc:src)             18     12   3%
   901 (python)                 19      8   3%
   903 (pixrc_udp)               3     21   2%
   890 (dataflash_logge)         4      9   1%
    24 (ipu1_task)               0      9   1%
   920 (python)                  5      1   1%
    71 (mmcqd/0)                 0      5   1%
   906 (telem_up)                2      3   1%

2018-11-21 14:47:49,162
   pid name                  utime  stime  pct
   905 (telem_down)              6     93  10%
   918 (python)                 80     13   9%
   921 (python)                 53      9   6%
    64 (kworker/0:2)             0     50   5%
   919 (python)                 38      8   5%
   903 (pixrc_udp)               0     33   3%
   914 (vidsrc:src)             19     11   3%
   901 (python)                 21      6   3%
   890 (dataflash_logge)         0     13   1%
    24 (ipu1_task)               0      8   1%
    71 (mmcqd/0)                 0      7   1%
   920 (python)                  6      0   1%
   908 (pixrc_ser)               0      5   1%
   906 (telem_up)                0      5   1%

2018-11-21 14:47:59,161
   pid name                  utime  stime  pct
   905 (telem_down)             14     83  10%
   918 (python)                 85      7   9%
   921 (python)                 48     15   6%
    64 (kworker/0:2)             0     48   5%
   919 (python)                 39      7   5%
   914 (vidsrc:src)             20     10   3%
   901 (python)                 20      7   3%
   903 (pixrc_udp)               1     23   2%
   890 (dataflash_logge)         6      8   1%
    24 (ipu1_task)               0      9   1%
   920 (python)                  5      1   1%
    71 (mmcqd/0)                 0      5   1%

2018-11-21 14:48:09,161
   pid name                  utime  stime  pct
   905 (telem_down)             14     86  10%
   918 (python)                 89      2   9%
   921 (python)                 46     16   6%
    64 (kworker/0:2)             0     49   5%
   919 (python)                 39      8   5%
   903 (pixrc_udp)              44      0   4%
   914 (vidsrc:src)             21      9   3%
   901 (python)                 22      7   3%
   890 (dataflash_logge)         2     10   1%
    24 (ipu1_task)               0      8   1%
    71 (mmcqd/0)                 0      5   1%
   908 (pixrc_ser)               2      3   1%
   906 (telem_up)                2      3   1%
   920 (python)                  5      0   1%

2018-11-21 14:48:19,162
   pid name                  utime  stime  pct
   905 (telem_down)             13     83  10%
   918 (python)                 84      6   9%
   921 (python)                 48     14   6%
    64 (kworker/0:2)             0     47   5%
   919 (python)                 35     11   5%
   914 (vidsrc:src)             19     11   3%
   901 (python)                 23      7   3%
   903 (pixrc_udp)               9      7   2%
   890 (dataflash_logge)         3     11   1%
    24 (ipu1_task)               0      9   1%
   920 (python)                  6      0   1%
   906 (telem_up)                0      5   1%

2018-11-21 14:48:29,161
   pid name                  utime  stime  pct
   905 (telem_down)             19     78  10%
   918 (python)                 85      5   9%
   921 (python)                 47     15   6%
    64 (kworker/0:2)             0     49   5%
   919 (python)                 38      8   5%
   903 (pixrc_udp)               0     36   4%
   914 (vidsrc:src)             20      9   3%
   901 (python)                 24      5   3%
   890 (dataflash_logge)         6      6   1%
    24 (ipu1_task)               0      8   1%
   920 (python)                  5      1   1%
   908 (pixrc_ser)               1      4   1%

2018-11-21 14:48:39,161
   pid name                  utime  stime  pct
   905 (telem_down)              8     92  10%
   918 (python)                 88      3   9%
   921 (python)                 52     11   6%
    64 (kworker/0:2)             0     49   5%
   919 (python)                 40      6   5%
   914 (vidsrc:src)             21      9   3%
   901 (python)                 23      5   3%
   903 (pixrc_udp)               2     22   2%
   890 (dataflash_logge)         1     12   1%
    24 (ipu1_task)               0      9   1%
    71 (mmcqd/0)                 0      6   1%
   906 (telem_up)                1      4   1%
   920 (python)                  5      0   1%

2018-11-21 14:48:49,161
   pid name                  utime  stime  pct
   905 (telem_down)             19     81  10%
   918 (python)                 88      2   9%
   921 (python)                 48     14   6%
    64 (kworker/0:2)             0     49   5%
   919 (python)                 38      8   5%
   903 (pixrc_udp)               0     35   4%
   914 (vidsrc:src)             22      8   3%
   901 (python)                 21      7   3%
   890 (dataflash_logge)         4     10   1%
    24 (ipu1_task)               0      8   1%
   920 (python)                  6      0   1%

2018-11-21 14:48:59,161
   pid name                  utime  stime  pct
   905 (telem_down)             10     86  10%
   918 (python)                 86      4   9%
   921 (python)                 52     10   6%
    64 (kworker/0:2)             0     48   5%
   919 (python)                 38      8   5%
   903 (pixrc_udp)               0     35   4%
   914 (vidsrc:src)             20     10   3%
   901 (python)                 21      7   3%
   890 (dataflash_logge)         4      9   1%
    24 (ipu1_task)               0      8   1%
   920 (python)                  6      0   1%
   908 (pixrc_ser)               0      5   1%
   906 (telem_up)                0      5   1%

2018-11-21 14:49:09,161
   pid name                  utime  stime  pct
   905 (telem_down)             12     85  10%
   918 (python)                 87      4   9%
   921 (python)                 46     16   6%
    64 (kworker/0:2)             0     48   5%
   919 (python)                 38      8   5%
   903 (pixrc_udp)               0     34   3%
   914 (vidsrc:src)             17     13   3%
   901 (python)                 24      4   3%
   890 (dataflash_logge)         4      9   1%
    24 (ipu1_task)               0      9   1%
   906 (telem_up)                2      3   1%
   920 (python)                  5      0   1%

2018-11-21 14:49:19,161
   pid name                  utime  stime  pct
   905 (telem_down)             13     89  10%
   918 (python)                 87      4   9%
   921 (python)                 49     13   6%
    64 (kworker/0:2)             0     58   6%
   919 (python)                 38      6   4%
   914 (vidsrc:src)             16     14   3%
   901 (python)                 19      0   2%
   890 (dataflash_logge)         4      9   1%
    24 (ipu1_task)               0      9   1%
   892 (vidlaunch)               4      5   1%
    71 (mmcqd/0)                 0      6   1%
   920 (python)                  5      1   1%
   908 (pixrc_ser)               0      5   1%

2018-11-21 14:49:29,161
   pid name                  utime  stime  pct
   905 (telem_down)             12     89  10%
   918 (python)                 86      4   9%
   921 (python)                 45     17   6%
    64 (kworker/0:2)             0     52   5%
   919 (python)                 39      5   4%
   914 (vidsrc:src)             23      8   3%
   901 (python)                 20      0   2%
   903 (pixrc_udp)               0     15   2%
   890 (dataflash_logge)         3     10   1%
   892 (vidlaunch)               3      9   1%
    24 (ipu1_task)               0      8   1%
   920 (python)                  5      0   1%

